FN	STARCH	GLUS	FRUS	GALS	SUCS	MALS	LACS	TRES	CHOAVL	SORTL	MANTL	NoticeSUG			
06064	(0.1)	(1.5)	(1.4)	(0)	(0.4)	(0)	(0)	(0)	(3.5)	-	-	別名： 赤キャベツ、紫キャベツ<br>廃棄部位： しん<br>英国成分表から推計			
06065	0	0.9	1.0	-	0.1	Tr	(0)	-	1.9	-	-	廃棄部位： 両端			
06069	(1.9)	(5.0)	(5.2)	(0)	(4.9)	(0)	(0)	(0)	(17.0)	-	-	酢漬けしたもの<br>英国成分表から推計			
06077	(0.1)	(0.3)	(0.1)	-	(0.1)	(0)	(0)	(0)	(0.5)	-	-	別名： オランダがらし、オランダみずがらし<br>廃棄部位： 株元<br>豪州成分表から推計			
06080	(0.1)	(0.5)	(0.5)	-	(0.1)	(0)	(0)	(0)	(1.2)	-	-	別名： 葉キャベツ、はごろもかんらん<br>廃棄部位： 葉柄基部<br>英国成分表から推計			
06081	(0)	(0.9)	(0.8)	-	(0.5)	(0)	(0)	(0)	(2.2)	-	-	別名： 球茎かんらん、かぶかんらん<br>廃棄部位： 根元及び葉柄基部<br>豪州成分表から推計			
06082	(0)	(1.0)	(0.8)	(0)	(0.5)	(0)	(0)	(0)	(2.2)	-	-	別名： 球茎かんらん、かぶかんらん<br>根元及び葉柄基部を除いたもの<br>豪州成分表から推計			
06084	0	0.1	0.4	-	0.6	0	(0)	-	1.0	-	-	廃棄部位： 皮、葉柄基部及び先端			
06085	(0)	(0.1)	(0.4)	-	(0.5)	(0)	(0)	-	(0.9)	-	-	皮、葉柄基部及び先端を除いたもの<br>06084ごぼう生から推計			
06086	0	0.2	0.1	-	0	0	(0)	-	0.3	-	-	廃棄部位： 株元			
06087	(0)	(0.2)	(0.1)	-	(0)	(0)	(0)	-	(0.3)	-	-	廃棄部位： 株元<br>ゆでた後水冷し、手搾りしたもの<br>06086こまつな生から推計			
06093	0	0.6	0.5	-	0	-	(0)	-	1.2	-	-	別名： ししとうがらし<br>廃棄部位： へた			
06094	(0)	(0.7)	(0.5)	-	(0)	-	(0)	-	(1.2)	-	-	別名： ししとうがらし<br>へたを除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06093ししとう生から推計			
06099	0	0.2	0.2	-	Tr	0	(0)	-	0.4	-	-	別名： きくな<br>廃棄部位： 基部 			
06100	(0)	(0.2)	(0.2)	-	(Tr)	(0)	(0)	-	(0.4)	-	-	別名： きくな<br>ゆでた後水冷し、手搾りしたもの<br>06099しゅんぎく生から推計			
06103	2.8	0.6	0.5	-	0.1	-	(0)	-	4.0	-	-	別名：ひねしょうが<br>廃棄部位： 皮			
06386	0.1	0.3	0.3	-	0	-	-	-	0.8	-	-				
06116	(0.1)	(0.9)	(1.3)	(0)	(Tr)	(0)	(0)	(0)	(2.3)	-	-	別名： つるなしかぼちゃ<br>廃棄部位： 両端<br>英国成分表から推計			
06119	0	0.6	0.6	-	0.2	0	(0)	-	1.3	-	1.0	別名： セロリー、セルリー、オランダみつば<br>廃棄部位： 株元、葉身及び表皮<br>乳糖、マンニトールは豪州成分表から推計			
06124	10.7	0	0	-	1.4	0	(0)	-	12.1	-	-	廃棄部位： 種皮			
06125	(11.0)	(0)	(0)	-	(1.5)	(0)	(0)	-	(12.5)	-	-	廃棄部位： 種皮<br>06124そらまめ生から推計			
06129	(0)	(0.5)	(0.5)	-	(Tr)	(Tr)	(0)	-	(1.1)	-	-	試料： 水耕栽培品<br>廃棄部位： 株元及び根<br>06130だいこん葉生から推計			
06130	0	0.6	0.7	-	Tr	Tr	(0)	-	1.4	-	-	廃棄部位： 葉柄基部			
06131	(0)	(0.6)	(0.6)	-	(Tr)	(Tr)	(0)	-	(1.3)	-	-	葉柄基部を除いたもの<br>ゆでた後水冷し、手搾りしたもの<br>06130だいこん葉生から推計			
06132	0	1.4	1.1	-	0.2	0	(0)	-	2.6	-	-	廃棄部位： 根端及び葉柄基部			
06133	(0)	(1.5)	(1.1)	-	(0.2)	(0)	(0)	-	(2.7)	-	-	根端及び葉柄基部を除いたもの<br>06132だいこん根皮つき生から推計			
06134	0	1.5	1.1	-	0.2	Tr	(0)	-	2.8	-	-	廃棄部位： 根端、葉柄基部及び皮			
06135	0	1.3	1.0	-	0.1	Tr	(0)	-	2.5	-	-	根端、葉柄基部及び皮を除いたもの			
06149	0.3	0.4	0.4	-	0.3	-	(0)	-	1.4	-	-	廃棄部位： 竹皮及び基部			
06150	(0.3)	(0.5)	(0.5)	-	(0.4)	-	(0)	-	(1.5)	-	-	竹皮及び基部を除いたもの<br>06149たけのこ生から推計			
06151	(0.8)	(0.7)	(0.5)	-	(0)	(0)	(0.2)	(0)	(2.2)	-	-	液汁を除いたもの<br>豪州成分表から推計			
06153	0.6	2.7	2.6	-	0.9	Tr	(0)	-	6.9	-	-	廃棄部位： 皮（保護葉）、底盤部及び頭部			
06154	(0.3)	(1.6)	(1.5)	-	(0.5)	(0)	(0)	-	(3.9)	-	-	皮（保護葉）、底盤部及び頭部を除いたもの<br>06155たまねぎりん茎ゆでから推計			
06155	0.4	1.9	1.8	-	0.6	0	(0)	-	4.7	-	-	皮（保護葉）、底盤部及び頭部を除いたもの			
06336	(0.7)	(3.2)	(3.0)	-	(1.0)	(Tr)	(0)	-	(7.9)	-	-	皮（保護葉）、底盤部及び頭部を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06155たまねぎりん茎ゆでから推計			
06156	(0.6)	(2.9)	(2.7)	-	(1.0)	(Tr)	(0)	-	(7.2)	-	-	別名： レッドオニオン、紫たまねぎ<br>廃棄部位： 皮（保護葉）、底盤部及び頭部<br>06153たまねぎりん茎生から推計			
06337	(0.1)	(2.1)	(2.5)	-	(0.3)	(0)	(0)	(0)	(5.1)	-	-	廃棄部位： 底盤部<br>豪州成分表から推計			
06159	(0.2)	(0.3)	(0.4)	(0)	(Tr)	(0)	(0)	-	(0.8)	-	-	別名： きくにがな、アンディーブ、チコリー<br>廃棄部位： 株元及びしん<br>英国成分表から推計			
06160	0	0.3	0.1	-	0	-	(0)	-	0.4	-	-	廃棄部位： しん			
06161	(0)	(0.3)	(0.2)	-	(0)	-	(0)	-	(0.5)	-	-	廃棄部位： しん<br>ゆでた後水冷し、手搾りしたもの<br>06160チンゲンサイ生から推計			
06338	(0)	(0.3)	(0.2)	-	(0)	-	(0)	-	(0.5)	-	-	しんを除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06160チンゲンサイ生から推計			
06171	(Tr)	(3.5)	(4.2)	(0)	(Tr)	(0)	(0)	(0)	(7.7)	-	-	別名： なんばん<br>試料： 辛味種 <br>廃棄部位： へた<br>英国成分表から推計			
06175	4.0	2.4	2.2	-	3.3	0.1	(0)	-	12.0	-	-	廃棄部位： 包葉、めしべ及び穂軸			
06176	(4.3)	(2.6)	(2.3)	-	(3.5)	(0.1)	(0)	-	(12.8)	-	-	包葉及びめしべを除いたもの<br>廃棄部位： 穂軸<br>06175スイートコーン生から推計			
06339	(4.7)	(2.8)	(2.5)	-	(3.8)	(0.1)	(0)	-	(13.8)	-	-	廃棄部位： 穂軸<br>06175スイートコーン生から推計			
06177	(4.3)	(2.6)	(2.3)	-	(3.5)	(0.1)	(0)	-	(12.7)	-	-	廃棄部位： 穂軸<br>06175スイートコーン生から推計			
06178	10.9	0.3	0.1	-	4.1	0.1	(0)	-	15.5	-	-	穂軸を除いた実（尖帽を除いた種子）のみ			
06378	10.5	0.2	0.1	-	3.7	0.1	(0)	-	14.6	-	-	穂軸を除いた実（尖帽を除いた種子）のみ			
06379	10.3	0.3	0.1	-	4.4	0.1	(0)	-	15.2	-	-	穂軸を除いた実（尖帽を除いた種子）のみ			
06180	(5.7)	(0.3)	(0.1)	-	(6.9)	-	(0)	(0)	(13.0)	-	-	液汁を除いたもの<br>英国成分表から推計			
06181	(0.7)	(1.5)	(1.2)	(0)	(0.8)	(0)	(0)	(0)	(4.1)	-	-	別名： ベビーコーン、ミニコーン<br>穂軸基部を除いたもの<br>豪州成分表から推計			
06182	0.1	0.1	1.6	-	Tr	0	0	-	3.1	0	-	廃棄部位： へた			
06183	-	2.1	2.4	-	0.1	0	(0)	-	4.5	-	-	別名： プチトマト、チェリートマト<br>廃棄部位： へた			
06370	0.1	10.8	18.3	-	0.1	0	-	-	29.2	-	-				
06184	(Tr)	(1.8)	(1.8)	(Tr)	(Tr)	(0)	(0)	(0)	(3.6)	-	-	別名： トマト水煮缶詰<br>液汁を除いたもの<br>英国成分表から推計			
06185	(Tr)	(1.3)	(1.5)	(0)	(Tr)	(0)	(0)	(0)	(2.9)	-	-	果汁100  %<br>英国成分表から推計			
06191	0.2	1.2	1.1	-	0.1	0	(0)	-	2.6	-	-	廃棄部位： へた			
06192	(0.1)	(1.0)	(1.0)	-	(0.1)	(0)	(0)	-	(2.3)	-	-	へたを除いたもの<br>06191なす生から推計			
06342	(0.2)	(1.5)	(1.4)	-	(0.1)	(0)	(0)	-	(3.2)	-	-	へたを除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06191なす生から推計			
06343	7.5	0.9	1.0	-	0.2	0.1	-	-	9.7	-	-	へたを除いたもの			
06193	(0.2)	(1.2)	(1.2)	-	(0.1)	(0)	(0)	-	(2.6)	-	-	別名： 洋なす<br>廃棄部位： へた及び果皮<br>06191なす生から推計			
06194	(0.2)	(1.4)	(1.4)	-	(0.1)	(0)	(0)	-	(3.1)	-	-	別名： 洋なす<br>廃棄部位： へた及び果皮<br>可食部(100g)から脂質量(g)を差し引いた部分について06191なす生から推計			
06205	0.1	0.2	0.1	-	0	-	(0)	-	0.3	-	-	別名： つるれいし、ゴーヤ<br>廃棄部位： 両端、わた及び種子			
06206	(0.1)	(0.2)	(0.1)	-	(0)	-	(0)	-	(0.4)	-	-	別名： つるれいし、ゴーヤ<br>両端、わた及び種子を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06205にがうり生から推計			
06207	0	0.8	0.8	-	0.2	Tr	(0)	-	1.7	-	-	廃棄部位： 株元			
06208	(0)	(1.0)	(1.0)	-	(0.2)	(Tr)	(0)	-	(2.3)	-	-	株元を除いたもの<br>ゆでた後水冷し、手搾りしたもの<br>06207にら生から推計			
06344	(0)	(0.9)	(0.9)	-	(0.2)	(Tr)	(0)	-	(2.0)	-	-	株元を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06207にら生から推計			
06212	0.2	1.7	1.6	-	2.4	0	(0)	-	5.8	-	-	廃棄部位： 根端及び葉柄基部			
06213	(0.1)	(1.5)	(1.4)	-	(2.1)	(0)	(0)	-	(5.2)	-	-	根端及び葉柄基部を除いたもの<br>06212にんじん根皮つき生から推計			
06214	0.1	1.7	1.6	-	2.4	0	(0)	-	5.9	-	-	廃棄部位： 根端、葉柄基部及び皮			
06215	0.1	1.4	1.3	-	2.1	0	(0)	-	5.0	-	-	根端、葉柄基部及び皮を除いたもの			
06345	(0.2)	(2.1)	(1.9)	-	(3.1)	(0)	(0)	-	(7.4)	-	-	根端、葉柄基部及び皮を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06215にんじん根皮なしゆでから推計			
06346	(0.2)	(2.3)	(2.1)	-	(3.4)	(0)	(0)	-	(8.1)	-	-	別名： フライドキャロット<br>根端、葉柄基部及び皮を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06215にんじん根皮なしゆでから推計			
06407	0.1	1.4	1.5	-	2.1	-	-	-	5.0	-	-				
06408	0.1	1.6	1.6	-	2.4	-	-	-	5.7	-	-				
06216	0.3	0.4	0.3	-	3.5	(0)	(0)	-	4.5	-	-	06215にんじん根皮むきゆでから推計			
06380	0.3	0.2	0.2	-	2.6	(0)	(0)	-	3.3	-	-				
06381	0.4	0.4	0.3	-	3.8	(0)	(0)	-	4.9	-	-				
06348	0.2	2.2	1.7	Tr	5.0	0	Tr	-	9.1	-	0				
06217	(Tr)	(1.4)	(0.9)	(0)	(3.5)	(0)	(0)	(0)	(5.7)	-	-	英国成分表から推計			
06222	(0.1)	(1.4)	(1.2)	(0)	(1.9)	(0)	(0)	(0)	(4.6)	-	-	廃棄部位： 根端及び葉柄基部<br>英国成分表から推計			
06223	0	Tr	0.1	-	0.9	0	(0)	-	1.0	-	-	廃棄部位： 茎、りん皮及び根盤部			
06349	(0)	(Tr)	(0.1)	-	(1.1)	(0)	(0)	-	(1.2)	-	-	茎、りん皮及び根盤部を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06223にんにく・りん茎生から推計			
06226	0	1.6	1.5	-	0.5	Tr	(0)	-	3.6	-	-	別名： 長ねぎ<br>廃棄部位： 株元及び緑葉部			
06350	(0)	(1.3)	(1.2)	-	(0.4)	(Tr)	(0)	-	(3.0)	-	-	別名： 長ねぎ<br>株元及び緑葉部を除いたもの<br>06226根深ねぎ生から推計			
06351	(0)	(1.8)	(1.7)	-	(0.6)	(Tr)	(0)	-	(4.1)	-	-	別名： 長ねぎ<br>株元及び緑葉部を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06226根深ねぎ生から推計			
06227	-	0	0	-	0	0	(0)	-	0	-	-	別名： 青ねぎ<br>廃棄部位： 株元			
06352	-	(0)	(0)	-	(0)	(0)	(0)	-	(0)	-	-	別名： 青ねぎ<br>株元を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06227葉ねぎ生から推計			
06233	0	1.1	0.8	-	Tr	Tr	(0)	-	2.0	-	-	廃棄部位： 株元			
06234	(0)	(1.0)	(0.8)	-	(Tr)	(Tr)	(0)	-	(1.9)	-	-	廃棄部位： 株元<br>ゆでた後水冷し、手搾りしたもの<br>06233はくさい生から推計			
06237	(0.4)	(0.9)	(0.7)	(Tr)	(0.1)	(0)	(0)	(0)	(2.1)	-	-	別名： パイゲンサイ<br>廃棄部位： 株元<br>英国成分表から推計			
06238	-	(Tr)	(Tr)	(0.3)	(0)	(0)	(0)	(0)	(0.3)	-	-	別名： バジリコ、スイートバジル<br>廃棄部位： 茎及び穂<br>米国成分表から推計			
06239	0.1	0.3	0.2	-	0.3	0	(0)	-	0.9	-	-	別名： オランダぜり<br>廃棄部位： 茎			
06240	(Tr)	(1.2)	(0.7)	(0)	(Tr)	(0)	(0)	(0)	(1.9)	-	-	別名： ラディッシュ<br>試料： 赤色球形種<br>廃棄部位： 根端、葉及び葉柄基部<br>英国成分表から推計			
06243	(0.5)	(0.2)	(0.1)	(0)	(6.1)	(0)	(0)	(0)	(6.9)	-	-	別名： ビート、ビートルート、レッドビート、テーブルビート、かえんさい<br>廃棄部位： 根端、皮及び葉柄基部<br>英国成分表から推計			
06244	(0.6)	(0.2)	(0.2)	(0)	(8.9)	(0)	(0)	(0)	(9.8)	-	-	別名： ビート、ビートルート、レッドビート、テーブルビート、かえんさい<br>根端及び葉柄基部を除いたもの<br>廃棄部位： 皮<br>英国成分表から推計			
06245	0	1.2	1.0	(0)	0.1	0	(0)	-	2.3	-	-	廃棄部位： へた、しん及び種子<br>ガラクトースは英国成分表から推計			
06246	(0)	(1.3)	(1.0)	(0)	(0.1)	(0)	(0)	-	(2.4)	-	-	へた、しん及び種子を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06245青ピーマン生から推計			
06247	(Tr)	(2.5)	(2.8)	(Tr)	(Tr)	(0)	(0)	(0)	(5.3)	-	-	別名： パプリカ<br>廃棄部位： へた、しん及び種子<br>英国成分表から推計			
06248	(Tr)	(1.7)	(2.6)	(Tr)	(0.3)	(0)	(0)	(0)	(4.5)	-	-	別名： パプリカ<br>へた、しん及び種子を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について英国成分表から推計			
06393	Tr	1.4	1.6	-	0.1	-	-	-	3.1	-	-	別名： パプリカ<br>廃棄部位： へた、しん及び種子			
06394	Tr	1.6	1.9	-	0.2	-	-	-	3.8	-	-	別名： パプリカ<br>へた、しん及び種子を除いたもの			
06249	(Tr)	(2.0)	(2.9)	(Tr)	(Tr)	(0)	(0)	(0)	(4.9)	-	-	別名： パプリカ、キングベル<br>廃棄部位： へた、しん及び種子<br>英国成分表から推計			
06250	(Tr)	(2.1)	(3.0)	(Tr)	(Tr)	(0)	(0)	(0)	(5.1)	-	-	別名： パプリカ、キングベル<br>へた、しん及び種子を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について英国成分表から推計			
06263	0.1	0.4	0.9	-	0.5	-	-	-	2.3	-	-	廃棄部位： 茎葉			
06264	Tr	0.5	0.7	-	Tr	-	-	-	1.3	-	-	茎葉を除いたもの			
06395	0.1	0.9	1.4	-	0.1	-	-	-	2.4	-	-	茎葉を除いたもの<br>			
06396	0.2	1.6	2.3	-	0.2	-	-	-	4.3	-	-	茎葉を除いたもの<br>			
06397	0.2	1.2	1.7	-	0.1	-	-	-	3.2	-	-	茎葉を除いたもの			
06354	(Tr)	(0.2)	(0.4)	-	(0.2)	-	-	-	(1.0)	-	-	別名： ブロッコリースプラウト<br>06263ブロッコリー生から推計			
06267	0	0.2	0.1	-	0.1	0	(0)	-	0.3	-	-	廃棄部位： 株元			
06268	0	0.2	0.1	-	0.1	0	(0)	-	0.4	-	-	廃棄部位： 株元<br>ゆでた後水冷し、手搾りしたもの			
06359	(0)	(0.2)	(0.2)	-	(0.1)	(0)	(0)	-	(0.4)	-	-	株元を除いたもの<br>可食部(100g)から脂質量(g)を差し引いた部分について06268ほうれんそう通年平均ゆでから推計			
06355	(0)	(0.2)	(0.1)	-	(0.1)	(0)	(0)	-	(0.3)	-	-	廃棄部位： 株元<br>06267通年平均生から推計			
06357	(0)	(0.2)	(0.1)	-	(0.1)	(0)	(0)	-	(0.4)	-	-	廃棄部位： 株元<br>ゆでた後水冷し、手搾りしたもの<br>06268通年平均ゆでから推計			
06356	(0)	(0.2)	(0.1)	-	(0.1)	(0)	(0)	-	(0.3)	-	-	廃棄部位： 株元<br>06267通年平均生から推計			
06358	(0)	(0.2)	(0.1)	-	(0.1)	(0)	(0)	-	(0.4)	-	-	廃棄部位： 株元<br>ゆでた後水冷し、手搾りしたもの<br>06268通年平均ゆでから推計			
06269	0	0.3	0.1	-	0.2	0	(0)	-	0.6	-	-				
06372	(0)	0.1	0	-	0.1	(0)	(0)	-	0.2	-	-	ゆでた後水冷し、手搾りしたもの			
06373	(0)	0.3	0.2	-	0.2	(0)	(0)	-	0.7	-	-				
06283	(0.8)	(1.2)	(1.4)	(0)	(0.7)	(0)	(0)	(0)	(4.1)	-	-	別名： こもちかんらん、姫かんらん、姫キャベツ<br>英国成分表から推計			
06284	(0.3)	(0.7)	(0.6)	(0)	(2.8)	(0)	(0)	(0)	(4.4)	-	-	別名： こもちかんらん、姫かんらん、姫キャベツ<br>英国成分表から推計			
06286	(0)	(0.1)	(0.1)	(0)	(0)	(0.1)	(0)	(0)	(0.3)	-	-	別名： 糸もやし<br>豪州成分表から推計。ガラクトースは米国成分表から推計			
06287	0.1	0.1	0.3	-	Tr	0	(0)	-	0.6	-	-	廃棄部位： 種皮及び損傷部			
06288	(0.1)	(0.1)	(0.2)	-	(Tr)	(0)	(0)	-	(0.5)	-	-	種皮及び損傷部を除いたもの<br>ゆでた後水冷し、水切りしたもの<br>09287だいずもやし生から推計			
06289	Tr	0.5	0.7	-	0.2	-	-	-	1.4	-	-	廃棄部位： 種皮及び損傷部			
06290	(Tr)	(0.4)	(0.6)	-	(0.1)	-	-	-	(1.1)	-	-	種皮及び損傷部を除いたもの<br>ゆでた後水冷し、水切りしたもの<br>06289ブラックマッペもやし生から推計			
06398	Tr	0.6	0.9	-	0.3	-	-	-	1.8	-	-	種皮及び損傷部を除いたもの<br>種皮及び損傷部を除いたもの			
06291	0	0.5	0.8	-	0	-	(0)	-	1.3	-	-	廃棄部位： 種皮及び損傷部			
06292	(0)	(0.4)	(0.7)	-	(0)	-	(0)	-	(1.1)	-	-	種皮及び損傷部を除いたもの<br>ゆでた後水冷し、水切りしたもの<br>06291りょくとうもやし生から推計			
06293	0	Tr	Tr	-	0.1	0	(0)	-	0.1	-	-				
06294	(0)	(Tr)	(Tr)	-	(Tr)	(0)	(0)	-	(0.1)	-	-	ゆでた後水冷し、手搾りしたもの<br>06293モロヘイヤ生から推計			
06298	(0.4)	(0.2)	(0.3)	(0)	(0)	(0)	(0)	(0)	(0.9)	-	-	別名： あさがおな、えんさい、くうしんさい<br>豪州成分表から推計			
06299	(0.5)	(0.2)	(0.3)	-	(0)	(0)	(0)	(0)	(1.0)	-	-	別名： あさがおな、えんさい、くうしんさい<br>ゆでた後水冷し、手搾りしたもの<br>豪州成分表から推計			
06308	(0.3)	(1.6)	(2.0)	(0)	(0.2)	(0)	(0)	(0)	(4.0)	-	-	別名： 西洋ねぎ、ポロねぎ<br>廃棄部位： 株元及び緑葉部<br>英国成分表から推計			
06309	(0.2)	(0.8)	(1.5)	(0)	(0.3)	(0)	(0)	(0)	(2.8)	-	-	別名： 西洋ねぎ、ポロねぎ<br>株元及び緑葉部を除いたもの<br>英国成分表から推計			
06319	(Tr)	(Tr)	(Tr)	(Tr)	(Tr)	(0)	(0)	(0)	(0)	-	-	別名： ロケットサラダ、エルカ、ルコラ<br>廃棄部位： 株元<br>英国成分表から推計			
06310	(0)	(1.0)	(0.8)	-	(0.1)	(0)	(0)	(0)	(1.9)	-	-	別名： しょくようだいおう<br>廃棄部位： 表皮及び両端<br>豪州成分表から推計			
06311	(0)	(0.7)	(0.6)	-	(0.1)	(0)	(0)	(0)	(1.4)	-	-	別名： しょくようだいおう<br>表皮及び両端を除いたもの<br>豪州成分表から推計			
06312	0.1	0.7	0.8	-	0.1	0	0	-	1.7	-	-	別名： たまちしゃ<br>廃棄部位： 株元			
06361	(0.1)	(0.8)	(1.0)	-	(0.1)	(0)	(0)	-	(2.0)	-	-	別名： たまちしゃ<br>廃棄部位： 株元<br>06312レタス土耕栽培生から推計			
06313	0	0.3	0.3	-	0.1	0	(0)	-	0.7	-	-	廃棄部位： 株元			
06314	(0)	(0.4)	(0.5)	(0)	(0)	(0)	(0)	(0)	(0.9)	-	-	別名： ちりめんちしゃ、あおちりめんちしゃ<br>廃棄部位： 株元<br>米国成分表から推計			
06315	(0)	(0.3)	(0.4)	(0)	(0)	(0)	(0)	(0)	(0.6)	-	-	別名： あかちりめんちしゃ<br>廃棄部位： 株元<br>米国成分表から推計			
06316	(0)	(0.4)	(0.8)	(0)	(0)	(0)	(0)	(0)	(1.2)	-	-	別名： ロメインレタス、たちちしゃ、たちレタス<br>廃棄部位： 株元<br>米国成分表から推計			
06317	10.5	0.1	0.1	-	2.3	0	(0)	-	13.0	-	-	廃棄部位： 節部及び皮			
06318	(10.3)	(0.1)	(0.1)	-	(2.2)	(0)	(0)	-	(12.7)	-	-	節部及び皮を除いたもの<br>06317れんこん生から推計			
06371	12.3	0.5	0.4	-	0.5	0	-	-	13.8	-	-				
06399	0	1.3	1.4	-	0.4	-	-	-	3.1	-	-				
06400	0.2	1.7	1.6	-	2.2	-	-	-	5.7	-	-				
07181	Tr	0.1	0.1	-	0	0	0	-	0.2	0	-				
07006	(0.1)	(0.4)	(0.1)	(0.1)	(0.1)	(0)	(0)	(0)	(0.8)	-	-	別名： アボガド<br>廃棄部位： 果皮及び種子<br>米国成分表から推計			
07007	(0)	(1.0)	(0.3)	(0)	(3.4)	(0)	(0)	(0)	(4.7)	(0.3)	-	別名： アプリコット<br>廃棄部位： 核及び果柄<br>豪州成分表から推計。ガラクトースは米国成分表から推計			
07008	(1.2)	(18.4)	(14.8)	(0)	(14.7)	(0)	(0)	(0)	(49.0)	(3.4)	-	別名： アプリコット<br>果皮及び核を除いたもの<br>豪州成分表から推計。ガラクトースは米国成分表から推計			
07010	(0)	(0.8)	(0.5)	-	(62.0)	(0)	(0)	(0)	(63.4)	-	-	別名： アプリコット<br>原材料配合割合から推計			
07012	(0)	(1.6)	(1.8)	-	(2.5)	(0)	(0)	-	(5.9)	(0)	(0)	別名： オランダイチゴ<br>廃棄部位： へた及び果梗<br>ソルビトール、マンニトールは豪州成分表から推計			
07013	(0)	(1.1)	(1.2)	-	(60.1)	(0)	(0)	-	(62.4)	-	-	別名： オランダイチゴ<br>原材料配合割合から推計			
07015	(0.1)	(5.6)	(5.2)	-	(Tr)	(Tr)	(0)	-	(11.0)	(0)	-	廃棄部位： 果皮及び果柄<br>ソルビトールは豪州成分表から推計			
07016	(5.9)	(29.0)	(26.9)	(0.2)	(0.1)	(0)	(0)	(0)	(62.1)	-	-	米国成分表から推計			
07022	0	0.5	0.4	-	0	0	0	-	0.9	0.4	-	廃棄部位： 核			
07037	(0)	(Tr)	(Tr)	-	(Tr)	(0)	(0)	(0)	(0)	-	-	緑果の塩漬<br>試料: びん詰　<br>液汁を除いたもの<br>廃棄部位： 種子<br>英国成分表から推計			
07049	0	4.8	4.5	-	3.8	0	0	-	13.1	-	-	廃棄部位： 果皮、種子及びへた			
07050	0	5.8	5.2	-	2.6	Tr	(0)	-	13.6	-	-	廃棄部位： 果皮、種子及びへた			
07026	(0)	(1.6)	(1.9)	-	(5.2)	(0)	(0)	-	(8.7)	-	-	別名：みかん<br>廃棄部位： 果皮<br>07027うんしゅうみかん,じょうのう普通生から推計			
07027	0	1.7	1.9	-	5.3	0	(0)	-	8.9	-	-	別名：みかん　　<br>廃棄部位： 果皮			
07028	(0)	(1.8)	(2.1)	-	(5.4)	(0)	(0)	-	(9.2)	-	-	別名：みかん<br>廃棄部位： 果皮及びじょうのう膜<br>07029うんしゅうみかん砂じょう普通生から推計			
07029	0	1.8	2.1	-	5.6	0	(0)	-	9.5	-	-	別名：みかん<br>廃棄部位： 果皮及びじょうのう膜			
07030	Tr	2.6	2.8	-	3.7	0	0	-	9.1	-	-	別名：みかんストレートジュース			
07031	0	2.3	2.6	-	3.4	0	(0)	-	8.3	-	-	別名：みかん濃縮還元ジュース			
07040	0	1.9	2.1	-	4.0	0	(0)	-	8.1	-	-	別名： ネーブルオレンジ<br>廃棄部位： 果皮、じょうのう膜及び種子			
07041	(0)	(1.7)	(1.9)	(Tr)	(3.3)	(0)	(0)	(0)	(7.0)	-	-	別名： バレンシアオレンジ<br>廃棄部位： 果皮、じょうのう膜及び種子<br>英国成分表から推計			
07042	(0)	2.6	2.9	(0)	3.3	(0)	(0)	-	8.8	-	-	別名： バレンシアオレンジ<br>でん粉は英国成分表、ガラクトース、麦芽糖及び乳糖は米国成分表から推計			
07043	(0)	(1.9)	(2.1)	(0)	(3.7)	(0)	(0)	(0)	(7.7)	-	-	別名： バレンシアオレンジ<br>米国成分表から推計。でん粉は英国成分表から推計			
07046	(0)	(24.4)	(13.3)	(0)	(15.8)	(6.7)	(0)	(0)	(60.2)	-	-	別名： バレンシアオレンジ<br>英国成分表から推計			
07062	0	2.0	2.2	-	3.1	0	(0)	-	7.3	-	-	廃棄部位： 果皮、じょうのう膜及び種子			
07164	(0)	(1.5)	(1.6)	(0)	(3.2)	(0)	(0)	-	(6.3)	-	-	廃棄部位： 果皮、じょうのう膜及び種子<br>米国成分表から推計			
07063	(0)	(3.2)	(3.5)	-	(2.0)	(0)	(0)	(0)	(8.7)	-	-	英国成分表から推計			
07064	(0)	(2.8)	(3.1)	-	(1.8)	(0)	(0)	(0)	(7.7)	-	-	英国成分表から推計			
07067	(0)	(6.6)	(6.8)	-	(1.8)	(0)	(0)	(0)	(15.2)	-	-	試料： ライトシラップ漬<br>液汁を含んだもの (液汁40 % )<br>英国成分表から推計			
07145	(0)	(0.7)	(0.7)	(0)	(0.5)	(0)	(0)	(0)	(1.9)	-	-	全果に対する果汁分： 35 % <br>米国成分表から推計			
07155	0	1.5	0.7	-	0.4	0	(0)	-	2.6	-	-	廃棄部位： 種子及びへた			
